ecart_date,action,label,count
103,telechargement_de_document,facture,256
88,telechargement_de_document,facture,256
18,telechargement_de_document,facture,512
207,signature_mandat_sepa,,1
110,signature_mandat_sepa,,1
220,ajustement_mensualites,,1
240,rgpd_rapport_utilisateur,,1
81,netatmo-synchronisation,,1
90,ajustement_mensualites,,1
26,contact,,1
128,rgpd_rapport_utilisateur,,1
262,contact,,1
311,netatmo-synchronisation,,1
64,netatmo-synchronisation,,1
311,rgpd_rapport_utilisateur,,1
210,netatmo-synchronisation,,1
121,signature_mandat_sepa,,1
285,ajustement_mensualites_confirmation,,1
386,ajustement_mensualites_confirmation,,1
101,netatmo-synchronisation,,1
283,signature_cpv,,1
50,contact,,1
115,netatmo-synchronisation,,1
153,contact,,1
288,ajustement_mensualites,,1
165,contact,,1
162,rgpd_rapport_utilisateur,,1
184,contact,,1
223,contact,,1
74,netatmo-suppression,,1
40,ajustement_mensualites,,1
307,ajustement_mensualites_confirmation,,1
-27,saisie_d_index,,1
201,rgpd_rapport_utilisateur,,1
122,signature_mandat_sepa,,1
367,contact,,1
253,ajustement_mensualites,,1
-20,ajustement_mensualites,,1
105,netatmo-synchronisation,,1
36,ajustement_mensualites,,1
369,signature_mandat_sepa,,1
13,ajustement_mensualites,,1
77,netatmo-synchronisation,,1
200,ajustement_mensualites,,1
120,netatmo-synchronisation,,1
279,netatmo-synchronisation,,1
161,ajustement_mensualites,,1
235,contact,,1
218,signature_mandat_sepa,,1
220,rgpd_rapport_utilisateur,,1
123,signature_mandat_sepa,,1
-23,saisie_d_index,,1
311,signature_mandat_sepa,,1
24,signature_cpv,,1
15,netatmo-synchronisation,,1
41,signature_mandat_sepa,,1
285,contact,,1
-24,signature_cpv,,1
173,netatmo-synchronisation,,1
366,signature_cpv,,1
371,contact,,1
332,contact,,1
364,contact,,1
344,ajustement_mensualites_confirmation,,1
240,ajustement_mensualites,,1
360,rgpd_rapport_utilisateur,,1
41,netatmo-synchronisation,,1
227,contact,,1
57,ajustement_mensualites,,1
359,contact,,1
212,contact,,1
223,signature_mandat_sepa,,1
302,signature_mandat_sepa,,1
18,contact,,1
270,contact,,1
221,netatmo-synchronisation,,1
172,ajustement_mensualites,,1
294,signature_mandat_sepa,,1
157,contact,,1
106,netatmo-synchronisation,,1
240,contact,,1
210,rgpd_rapport_utilisateur,,1
-10,signature_cpv,,1
249,rgpd_rapport_utilisateur,,1
37,contact,,1
253,signature_mandat_sepa,,1
52,contact,,1
315,netatmo-synchronisation,,1
196,netatmo-synchronisation,,1
41,contact,,1
316,netatmo-synchronisation,,1
348,netatmo-synchronisation,,1
66,rgpd_rapport_utilisateur,,1
284,netatmo-synchronisation,,1
282,netatmo-synchronisation,,1
250,signature_mandat_sepa,,1
330,contact,,1
138,signature_mandat_sepa,,1
314,contact,,1
344,contact,,1
88,signature_mandat_sepa,,1
253,contact,,1
307,signature_mandat_sepa,,1
164,ajustement_mensualites,,1
289,ajustement_mensualites,,1
60,ajustement_mensualites,,1
235,signature_cpv,,1
324,contact,,1
214,signature_mandat_sepa,,1
189,netatmo-synchronisation,,1
290,contact,,1
-18,contact,,1
257,netatmo-suppression,,1
17,netatmo-synchronisation,,1
233,contact,,1
188,ajustement_mensualites,,1
288,contact,,1
270,netatmo-synchronisation,,1
36,contact,,1
208,signature_mandat_sepa,,1
264,rgpd_rapport_utilisateur,,1
275,netatmo-synchronisation,,1
88,netatmo-synchronisation,,1
307,ajustement_mensualites,,1
352,signature_mandat_sepa,,1
257,signature_mandat_sepa,,1
78,signature_mandat_sepa,,1
33,contact,,1
293,netatmo-synchronisation,,1
185,ajustement_mensualites,,1
177,netatmo-synchronisation,,1
151,contact,,1
45,netatmo-synchronisation,,1
144,completion_questionnaire,,1
115,signature_cpv,,1
57,netatmo-suppression,,1
308,ajustement_mensualites,,1
33,ajustement_mensualites,,1
-25,signature_cpv,,1
67,contact,,1
79,ajustement_mensualites,,1
319,signature_mandat_sepa,,1
76,netatmo-synchronisation,,1
306,signature_mandat_sepa,,1
247,rgpd_rapport_utilisateur,,1
294,contact,,1
205,ajustement_mensualites,,1
304,contact,,1
195,netatmo-synchronisation,,1
44,ajustement_mensualites,,1
391,ajustement_mensualites_confirmation,,1
219,rgpd_rapport_utilisateur,,1
72,rgpd_rapport_utilisateur,,1
249,netatmo-suppression,,1
37,netatmo-suppression,,1
98,contact,,1
109,signature_mandat_sepa,,1
75,rgpd_rapport_utilisateur,,1
260,signature_cpv,,1
327,ajustement_mensualites_confirmation,,1
25,netatmo-suppression,,1
45,ajustement_mensualites,,1
186,signature_mandat_sepa,,1
146,contact,,1
30,netatmo-suppression,,1
291,signature_cpv,,1
283,ajustement_mensualites,,1
367,rgpd_rapport_utilisateur,,1
365,signature_cpv,,1
57,netatmo-synchronisation,,1
170,contact,,1
